Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Mar 2 1999,New York Knicks,84,Miami Heat,85,Box Score,OT,15200,
Tue Mar 2 1999,Golden State Warriors,78,Minnesota Timberwolves,89,Box Score,,14776,
Tue Mar 2 1999,Milwaukee Bucks,94,New Jersey Nets,86,Box Score,,15180,
Tue Mar 2 1999,Utah Jazz,100,Portland Trail Blazers,102,Box Score,2OT,19980,
Tue Mar 2 1999,Sacramento Kings,111,Vancouver Grizzlies,101,Box Score,,13252,
Wed Mar 3 1999,Phoenix Suns,95,Los Angeles Lakers,101,Box Score,,17505,
Wed Mar 3 1999,Golden State Warriors,78,Milwaukee Bucks,106,Box Score,,12136,
Wed Mar 3 1999,Charlotte Hornets,76,Orlando Magic,93,Box Score,,15421,
Wed Mar 3 1999,Chicago Bulls,86,Philadelphia 76ers,102,Box Score,,11510,
Wed Mar 3 1999,Portland Trail Blazers,97,Sacramento Kings,93,Box Score,OT,15160,
Wed Mar 3 1999,Vancouver Grizzlies,86,Utah Jazz,109,Box Score,,18556,
Wed Mar 3 1999,Indiana Pacers,106,Washington Wizards,95,Box Score,,12912,
Thu Mar 4 1999,Toronto Raptors,86,Atlanta Hawks,77,Box Score,,7877,at Atlanta GA (Alexander Memorial Coliseum at McDonald's Center)
Thu Mar 4 1999,Detroit Pistons,99,Cleveland Cavaliers,84,Box Score,,13248,
Thu Mar 4 1999,San Antonio Spurs,95,Dallas Mavericks,79,Box Score,,14719,
Thu Mar 4 1999,Los Angeles Clippers,77,Houston Rockets,96,Box Score,,16285,
Thu Mar 4 1999,Denver Nuggets,87,Miami Heat,95,Box Score,,14834,
Thu Mar 4 1999,Charlotte Hornets,96,New Jersey Nets,82,Box Score,,14728,
Thu Mar 4 1999,Phoenix Suns,101,Seattle SuperSonics,93,Box Score,,17072,
Thu Mar 4 1999,Minnesota Timberwolves,102,Vancouver Grizzlies,93,Box Score,,13329,
Fri Mar 5 1999,Denver Nuggets,94,Boston Celtics,102,Box Score,,18624,
Fri Mar 5 1999,Golden State Warriors,102,Indiana Pacers,83,Box Score,,16184,
Fri Mar 5 1999,Seattle SuperSonics,100,Los Angeles Lakers,103,Box Score,,17505,
Fri Mar 5 1999,New York Knicks,87,Milwaukee Bucks,88,Box Score,,16843,
Fri Mar 5 1999,Miami Heat,89,Philadelphia 76ers,78,Box Score,,19949,
Fri Mar 5 1999,Minnesota Timberwolves,85,Portland Trail Blazers,97,Box Score,,19264,
Fri Mar 5 1999,Orlando Magic,89,Toronto Raptors,84,Box Score,,15601,
Fri Mar 5 1999,Dallas Mavericks,95,Utah Jazz,106,Box Score,,19539,
Fri Mar 5 1999,Charlotte Hornets,85,Washington Wizards,86,Box Score,,15703,
Sat Mar 6 1999,Golden State Warriors,80,Cleveland Cavaliers,97,Box Score,,12894,
Sat Mar 6 1999,Detroit Pistons,82,Orlando Magic,87,Box Score,,17248,
Sat Mar 6 1999,Sacramento Kings,111,Phoenix Suns,99,Box Score,,19023,
Sat Mar 6 1999,Los Angeles Clippers,85,San Antonio Spurs,114,Box Score,,18394,
Sat Mar 6 1999,Houston Rockets,107,Vancouver Grizzlies,92,Box Score,,19193,
Sun Mar 7 1999,San Antonio Spurs,106,Denver Nuggets,96,Box Score,,12037,
Sun Mar 7 1999,Miami Heat,72,Indiana Pacers,85,Box Score,,16703,
Sun Mar 7 1999,New Jersey Nets,86,New York Knicks,97,Box Score,,19763,
Sun Mar 7 1999,Washington Wizards,103,Philadelphia 76ers,95,Box Score,OT,16797,
Sun Mar 7 1999,Houston Rockets,71,Portland Trail Blazers,111,Box Score,,20062,
Sun Mar 7 1999,Dallas Mavericks,89,Sacramento Kings,94,Box Score,,14715,
Sun Mar 7 1999,Minnesota Timberwolves,88,Seattle SuperSonics,77,Box Score,,17072,
Sun Mar 7 1999,Boston Celtics,92,Toronto Raptors,105,Box Score,,16635,
Sun Mar 7 1999,Los Angeles Lakers,97,Utah Jazz,89,Box Score,,19911,
Mon Mar 8 1999,Washington Wizards,71,Detroit Pistons,75,Box Score,,15022,
Mon Mar 8 1999,Philadelphia 76ers,89,Miami Heat,91,Box Score,,15200,
Mon Mar 8 1999,Chicago Bulls,76,Milwaukee Bucks,81,Box Score,,12085,
Mon Mar 8 1999,Atlanta Hawks,114,Orlando Magic,110,Box Score,,15637,
Mon Mar 8 1999,Portland Trail Blazers,92,Vancouver Grizzlies,73,Box Score,,13552,
Tue Mar 9 1999,Boston Celtics,87,Charlotte Hornets,105,Box Score,,18342,
Tue Mar 9 1999,New Jersey Nets,87,Chicago Bulls,103,Box Score,,22207,
Tue Mar 9 1999,Phoenix Suns,103,Dallas Mavericks,91,Box Score,,12714,
Tue Mar 9 1999,Vancouver Grizzlies,82,Golden State Warriors,92,Box Score,,10043,
Tue Mar 9 1999,Denver Nuggets,75,Houston Rockets,84,Box Score,,16285,
Tue Mar 9 1999,Los Angeles Lakers,103,Los Angeles Clippers,99,Box Score,,13380,
Tue Mar 9 1999,Seattle SuperSonics,84,Minnesota Timberwolves,85,Box Score,,17237,
Tue Mar 9 1999,Milwaukee Bucks,87,New York Knicks,86,Box Score,,19763,
Tue Mar 9 1999,Sacramento Kings,98,Portland Trail Blazers,103,Box Score,,18147,
Tue Mar 9 1999,Cleveland Cavaliers,75,Utah Jazz,88,Box Score,,18753,
Wed Mar 10 1999,New Jersey Nets,82,Indiana Pacers,93,Box Score,,14925,
Wed Mar 10 1999,Los Angeles Clippers,75,Los Angeles Lakers,94,Box Score,,17505,
Wed Mar 10 1999,Atlanta Hawks,78,Miami Heat,88,Box Score,,15200,
Wed Mar 10 1999,Seattle SuperSonics,97,Milwaukee Bucks,101,Box Score,,15692,
Wed Mar 10 1999,Charlotte Hornets,70,Philadelphia 76ers,85,Box Score,,14590,
Wed Mar 10 1999,Cleveland Cavaliers,86,Phoenix Suns,73,Box Score,,18567,
Wed Mar 10 1999,Orlando Magic,79,San Antonio Spurs,81,Box Score,,17954,
Wed Mar 10 1999,Detroit Pistons,87,Washington Wizards,97,Box Score,,16316,
Thu Mar 11 1999,Boston Celtics,85,Atlanta Hawks,99,Box Score,,8518,at Atlanta GA (Alexander Memorial Coliseum at McDonald's Center)
Thu Mar 11 1999,Seattle SuperSonics,92,Chicago Bulls,83,Box Score,,22391,
Thu Mar 11 1999,Orlando Magic,76,Dallas Mavericks,93,Box Score,,14553,
Thu Mar 11 1999,Minnesota Timberwolves,82,Golden State Warriors,89,Box Score,,11150,
Thu Mar 11 1999,Vancouver Grizzlies,91,Houston Rockets,102,Box Score,,16285,
Thu Mar 11 1999,Sacramento Kings,92,Los Angeles Clippers,106,Box Score,,7884,
Thu Mar 11 1999,Toronto Raptors,73,Miami Heat,83,Box Score,,14911,
Thu Mar 11 1999,Washington Wizards,86,New York Knicks,98,Box Score,,19763,
Thu Mar 11 1999,Denver Nuggets,89,Utah Jazz,94,Box Score,,19911,
Fri Mar 12 1999,New York Knicks,63,Chicago Bulls,76,Box Score,,23079,
Fri Mar 12 1999,Boston Celtics,83,Detroit Pistons,93,Box Score,,19644,
Fri Mar 12 1999,Milwaukee Bucks,104,Indiana Pacers,109,Box Score,,16580,
Fri Mar 12 1999,Golden State Warriors,78,Los Angeles Lakers,89,Box Score,,17505,
Fri Mar 12 1999,New Jersey Nets,93,Philadelphia 76ers,100,Box Score,OT,19818,
Fri Mar 12 1999,San Antonio Spurs,99,Phoenix Suns,97,Box Score,,19023,
Fri Mar 12 1999,Utah Jazz,91,Portland Trail Blazers,77,Box Score,,20668,
Fri Mar 12 1999,Minnesota Timberwolves,101,Sacramento Kings,95,Box Score,,17317,
Fri Mar 12 1999,Charlotte Hornets,92,Washington Wizards,83,Box Score,,16343,
Sat Mar 13 1999,Toronto Raptors,75,Atlanta Hawks,86,Box Score,,8456,at Atlanta GA (Alexander Memorial Coliseum at McDonald's Center)
Sat Mar 13 1999,Vancouver Grizzlies,74,Dallas Mavericks,91,Box Score,,14184,
Sat Mar 13 1999,Orlando Magic,87,Golden State Warriors,74,Box Score,,14177,
Sat Mar 13 1999,Cleveland Cavaliers,89,Houston Rockets,100,Box Score,,16285,
Sat Mar 13 1999,Portland Trail Blazers,106,Los Angeles Clippers,96,Box Score,OT,9484,
Sat Mar 13 1999,Denver Nuggets,61,San Antonio Spurs,92,Box Score,,32982,
Sat Mar 13 1999,Minnesota Timberwolves,72,Utah Jazz,99,Box Score,,19911,
Sun Mar 14 1999,Atlanta Hawks,85,Detroit Pistons,72,Box Score,,14834,
Sun Mar 14 1999,Boston Celtics,96,Indiana Pacers,99,Box Score,,16664,
Sun Mar 14 1999,New Jersey Nets,76,Miami Heat,102,Box Score,,15036,
Sun Mar 14 1999,Charlotte Hornets,86,New York Knicks,94,Box Score,,19763,
Sun Mar 14 1999,Houston Rockets,90,Phoenix Suns,104,Box Score,,19023,
Sun Mar 14 1999,Los Angeles Lakers,101,Sacramento Kings,105,Box Score,,17317,
Sun Mar 14 1999,Los Angeles Clippers,89,Seattle SuperSonics,108,Box Score,,17072,
Sun Mar 14 1999,Milwaukee Bucks,86,Washington Wizards,98,Box Score,,14353,
Mon Mar 15 1999,Cleveland Cavaliers,89,Chicago Bulls,85,Box Score,OT,22456,
Mon Mar 15 1999,Portland Trail Blazers,106,Dallas Mavericks,91,Box Score,,14046,
Mon Mar 15 1999,Vancouver Grizzlies,84,Denver Nuggets,110,Box Score,,8251,
