Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Nov 4 2009,7:30p,Denver Nuggets,122,New Jersey Nets,94,Box Score,,15319,
Wed Nov 4 2009,9:30p,Dallas Mavericks,107,New Orleans Hornets,114,Box Score,OT,13566,
Wed Nov 4 2009,7:30p,Indiana Pacers,101,New York Knicks,89,Box Score,,19273,
Wed Nov 4 2009,7:00p,Phoenix Suns,100,Orlando Magic,122,Box Score,,17461,
Wed Nov 4 2009,10:00p,Atlanta Hawks,113,Sacramento Kings,105,Box Score,,11751,
Wed Nov 4 2009,7:00p,Detroit Pistons,99,Toronto Raptors,110,Box Score,,17915,
Wed Nov 4 2009,7:00p,Miami Heat,93,Washington Wizards,89,Box Score,,17413,
Thu Nov 5 2009,8:00p,Chicago Bulls,86,Cleveland Cavaliers,85,Box Score,,20562,
Thu Nov 5 2009,10:30p,San Antonio Spurs,99,Utah Jazz,113,Box Score,,19797,
Fri Nov 6 2009,7:30p,Phoenix Suns,110,Boston Celtics,103,Box Score,,18624,
Fri Nov 6 2009,7:00p,Atlanta Hawks,83,Charlotte Bobcats,103,Box Score,,15874,
Fri Nov 6 2009,10:30p,Los Angeles Clippers,118,Golden State Warriors,90,Box Score,,18788,
Fri Nov 6 2009,8:30p,Oklahoma City Thunder,94,Houston Rockets,105,Box Score,,14911,
Fri Nov 6 2009,7:00p,Washington Wizards,86,Indiana Pacers,102,Box Score,,14556,
Fri Nov 6 2009,10:30p,Memphis Grizzlies,98,Los Angeles Lakers,114,Box Score,,18997,
Fri Nov 6 2009,7:30p,Denver Nuggets,88,Miami Heat,96,Box Score,,19600,
Fri Nov 6 2009,8:00p,Milwaukee Bucks,87,Minnesota Timberwolves,72,Box Score,,13758,
Fri Nov 6 2009,8:00p,Toronto Raptors,107,New Orleans Hornets,90,Box Score,,15010,
Fri Nov 6 2009,8:00p,Cleveland Cavaliers,100,New York Knicks,91,Box Score,,19763,
Fri Nov 6 2009,7:00p,Detroit Pistons,103,Orlando Magic,110,Box Score,,17461,
Fri Nov 6 2009,7:00p,New Jersey Nets,94,Philadelphia 76ers,97,Box Score,,10054,
Fri Nov 6 2009,10:30p,San Antonio Spurs,84,Portland Trail Blazers,96,Box Score,,20498,
Sat Nov 7 2009,7:00p,Denver Nuggets,100,Atlanta Hawks,125,Box Score,,17801,
Sat Nov 7 2009,8:00p,Charlotte Bobcats,90,Chicago Bulls,93,Box Score,,21108,
Sat Nov 7 2009,8:30p,Toronto Raptors,101,Dallas Mavericks,129,Box Score,,19977,
Sat Nov 7 2009,10:30p,Memphis Grizzlies,110,Los Angeles Clippers,113,Box Score,,15399,
Sat Nov 7 2009,8:30p,New York Knicks,87,Milwaukee Bucks,102,Box Score,,15486,
Sat Nov 7 2009,7:30p,Boston Celtics,86,New Jersey Nets,76,Box Score,,16119,
Sat Nov 7 2009,9:00p,Sacramento Kings,104,Utah Jazz,99,Box Score,,18825,
Sun Nov 8 2009,1:00p,Philadelphia 76ers,81,Detroit Pistons,88,Box Score,,17187,
Sun Nov 8 2009,9:30p,New Orleans Hornets,88,Los Angeles Lakers,104,Box Score,,18997,
Sun Nov 8 2009,7:00p,Orlando Magic,74,Oklahoma City Thunder,102,Box Score,,18203,
Sun Nov 8 2009,9:00p,Minnesota Timberwolves,93,Portland Trail Blazers,116,Box Score,,20306,
Sun Nov 8 2009,9:00p,Golden State Warriors,107,Sacramento Kings,120,Box Score,,10760,
Sun Nov 8 2009,1:00p,Phoenix Suns,102,Washington Wizards,90,Box Score,,14143,
Mon Nov 9 2009,10:30p,Minnesota Timberwolves,105,Golden State Warriors,146,Box Score,,15468,
Mon Nov 9 2009,10:30p,New Orleans Hornets,112,Los Angeles Clippers,84,Box Score,,14760,
Mon Nov 9 2009,7:30p,Utah Jazz,95,New York Knicks,93,Box Score,,19355,
Mon Nov 9 2009,7:00p,Phoenix Suns,119,Philadelphia 76ers,115,Box Score,,10205,
Mon Nov 9 2009,8:30p,Toronto Raptors,124,San Antonio Spurs,131,Box Score,,17714,
Tue Nov 10 2009,7:00p,Orlando Magic,93,Charlotte Bobcats,81,Box Score,,13415,
Tue Nov 10 2009,8:00p,Denver Nuggets,90,Chicago Bulls,89,Box Score,,21409,
Tue Nov 10 2009,8:30p,Houston Rockets,103,Dallas Mavericks,121,Box Score,,19720,
Tue Nov 10 2009,8:00p,Portland Trail Blazers,93,Memphis Grizzlies,79,Box Score,,10589,
Tue Nov 10 2009,7:30p,Washington Wizards,76,Miami Heat,90,Box Score,,15054,
Tue Nov 10 2009,10:00p,Oklahoma City Thunder,98,Sacramento Kings,101,Box Score,,10523,
Wed Nov 11 2009,7:30p,Utah Jazz,86,Boston Celtics,105,Box Score,,18624,
Wed Nov 11 2009,7:30p,Charlotte Bobcats,75,Detroit Pistons,98,Box Score,,15417,
Wed Nov 11 2009,8:30p,Memphis Grizzlies,79,Houston Rockets,104,Box Score,,17220,
Wed Nov 11 2009,7:00p,Golden State Warriors,94,Indiana Pacers,108,Box Score,,10682,
Wed Nov 11 2009,10:30p,Oklahoma City Thunder,83,Los Angeles Clippers,79,Box Score,,14248,
Wed Nov 11 2009,8:00p,Denver Nuggets,102,Milwaukee Bucks,108,Box Score,,12987,
Wed Nov 11 2009,8:00p,Portland Trail Blazers,107,Minnesota Timberwolves,84,Box Score,,13555,
Wed Nov 11 2009,7:30p,Philadelphia 76ers,82,New Jersey Nets,79,Box Score,,10714,
Wed Nov 11 2009,7:30p,Atlanta Hawks,114,New York Knicks,101,Box Score,,19699,
Wed Nov 11 2009,8:00p,Cleveland Cavaliers,102,Orlando Magic,93,Box Score,,17461,
Wed Nov 11 2009,10:30p,New Orleans Hornets,104,Phoenix Suns,124,Box Score,,16517,
Wed Nov 11 2009,8:30p,Dallas Mavericks,83,San Antonio Spurs,92,Box Score,,18581,
Wed Nov 11 2009,7:00p,Chicago Bulls,89,Toronto Raptors,99,Box Score,,16310,
Thu Nov 12 2009,10:30p,Phoenix Suns,102,Los Angeles Lakers,121,Box Score,,18997,
Thu Nov 12 2009,8:00p,Cleveland Cavaliers,111,Miami Heat,104,Box Score,,19600,
Fri Nov 13 2009,8:00p,Atlanta Hawks,97,Boston Celtics,86,Box Score,,18624,
Fri Nov 13 2009,10:30p,Los Angeles Lakers,79,Denver Nuggets,105,Box Score,,19141,
Fri Nov 13 2009,10:30p,Toronto Raptors,104,Los Angeles Clippers,89,Box Score,,15615,
Fri Nov 13 2009,8:00p,Dallas Mavericks,89,Minnesota Timberwolves,77,Box Score,,12372,
Fri Nov 13 2009,8:00p,Portland Trail Blazers,86,New Orleans Hornets,78,Box Score,,14742,
Fri Nov 13 2009,7:30p,Golden State Warriors,121,New York Knicks,107,Box Score,,19763,
Fri Nov 13 2009,7:00p,New Jersey Nets,72,Orlando Magic,88,Box Score,,17461,
Fri Nov 13 2009,7:00p,Utah Jazz,112,Philadelphia 76ers,90,Box Score,,10738,
Fri Nov 13 2009,10:00p,Houston Rockets,100,Sacramento Kings,109,Box Score,,11762,
Sat Nov 14 2009,7:00p,New Orleans Hornets,98,Atlanta Hawks,121,Box Score,,18572,
Sat Nov 14 2009,7:00p,Portland Trail Blazers,80,Charlotte Bobcats,74,Box Score,,15872,
Sat Nov 14 2009,8:00p,Philadelphia 76ers,88,Chicago Bulls,94,Box Score,,21837,
Sat Nov 14 2009,7:30p,Utah Jazz,103,Cleveland Cavaliers,107,Box Score,,20562,
Sat Nov 14 2009,7:00p,Boston Celtics,104,Indiana Pacers,113,Box Score,,18165,
Sat Nov 14 2009,8:00p,Minnesota Timberwolves,87,Memphis Grizzlies,97,Box Score,,10019,
Sat Nov 14 2009,7:30p,New Jersey Nets,80,Miami Heat,81,Box Score,,17124,
Sat Nov 14 2009,8:30p,Golden State Warriors,125,Milwaukee Bucks,129,Box Score,,14978,
Sat Nov 14 2009,8:30p,Oklahoma City Thunder,101,San Antonio Spurs,98,Box Score,,17947,
Sat Nov 14 2009,7:00p,Detroit Pistons,106,Washington Wizards,103,Box Score,,20173,
Sun Nov 15 2009,6:00p,Dallas Mavericks,95,Detroit Pistons,90,Box Score,,18215,
Sun Nov 15 2009,9:30p,Houston Rockets,101,Los Angeles Lakers,91,Box Score,,18997,
Sun Nov 15 2009,7:00p,Los Angeles Clippers,101,Oklahoma City Thunder,93,Box Score,,17715,
Sun Nov 15 2009,8:00p,Toronto Raptors,100,Phoenix Suns,101,Box Score,,16605,
Mon Nov 16 2009,7:00p,Portland Trail Blazers,95,Atlanta Hawks,99,Box Score,OT,12977,
Mon Nov 16 2009,8:00p,Dallas Mavericks,115,Milwaukee Bucks,113,Box Score,OT,13683,
Mon Nov 16 2009,7:00p,Charlotte Bobcats,91,Orlando Magic,97,Box Score,,17461,
Tue Nov 17 2009,7:00p,Golden State Warriors,108,Cleveland Cavaliers,114,Box Score,,20562,
Tue Nov 17 2009,9:00p,Toronto Raptors,112,Denver Nuggets,130,Box Score,,16446,
Tue Nov 17 2009,8:30p,Phoenix Suns,111,Houston Rockets,105,Box Score,,16396,
Tue Nov 17 2009,10:30p,Detroit Pistons,93,Los Angeles Lakers,106,Box Score,,18997,
Tue Nov 17 2009,7:30p,Oklahoma City Thunder,100,Miami Heat,87,Box Score,,14443,
