Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Nov 8 1997,Phoenix Suns,123,Los Angeles Clippers,105,Box Score,,12906,at Anaheim CA
Sat Nov 8 1997,Washington Wizards,106,Miami Heat,114,Box Score,,14859,
Sat Nov 8 1997,Boston Celtics,96,Milwaukee Bucks,105,Box Score,,17653,
Sat Nov 8 1997,Toronto Raptors,87,Orlando Magic,96,Box Score,,17248,
Sat Nov 8 1997,Utah Jazz,80,San Antonio Spurs,87,Box Score,,19100,
Sun Nov 9 1997,Golden State Warriors,97,Los Angeles Lakers,132,Box Score,,14623,
Sun Nov 9 1997,Seattle SuperSonics,112,Philadelphia 76ers,105,Box Score,,16457,
Sun Nov 9 1997,New York Knicks,78,Sacramento Kings,86,Box Score,,15046,
Sun Nov 9 1997,Detroit Pistons,96,Vancouver Grizzlies,104,Box Score,OT,14925,
Mon Nov 10 1997,Detroit Pistons,82,Portland Trail Blazers,86,Box Score,,20411,
Mon Nov 10 1997,San Antonio Spurs,100,Toronto Raptors,98,Box Score,,18174,
Tue Nov 11 1997,Seattle SuperSonics,87,Atlanta Hawks,89,Box Score,,18122,
Tue Nov 11 1997,Chicago Bulls,80,Cleveland Cavaliers,101,Box Score,,20562,
Tue Nov 11 1997,Los Angeles Lakers,118,Dallas Mavericks,96,Box Score,,13722,
Tue Nov 11 1997,Sacramento Kings,82,Miami Heat,101,Box Score,,14603,
Tue Nov 11 1997,San Antonio Spurs,93,Minnesota Timberwolves,92,Box Score,,14593,
Tue Nov 11 1997,Denver Nuggets,90,New York Knicks,93,Box Score,,19763,
Tue Nov 11 1997,Los Angeles Clippers,113,Vancouver Grizzlies,119,Box Score,,15160,
Wed Nov 12 1997,Denver Nuggets,86,Boston Celtics,96,Box Score,,15760,
Wed Nov 12 1997,Washington Wizards,90,Chicago Bulls,83,Box Score,,23749,
Wed Nov 12 1997,Detroit Pistons,102,Golden State Warriors,71,Box Score,,10629,
Wed Nov 12 1997,Philadelphia 76ers,114,Houston Rockets,100,Box Score,,16285,
Wed Nov 12 1997,Atlanta Hawks,89,Indiana Pacers,86,Box Score,,13400,
Wed Nov 12 1997,Sacramento Kings,115,Orlando Magic,89,Box Score,,16614,
Wed Nov 12 1997,Milwaukee Bucks,95,Phoenix Suns,103,Box Score,,19023,
Wed Nov 12 1997,New York Knicks,93,Toronto Raptors,70,Box Score,,18143,
Wed Nov 12 1997,Vancouver Grizzlies,80,Utah Jazz,98,Box Score,,19851,
