Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Nov 1 2005,8:00p,Sacramento Kings,67,New Orleans/Oklahoma City Hornets,93,Box Score,,19163,
Tue Nov 1 2005,7:00p,Milwaukee Bucks,117,Philadelphia 76ers,108,Box Score,OT,17705,
Tue Nov 1 2005,10:30p,Dallas Mavericks,111,Phoenix Suns,108,Box Score,2OT,17961,
Tue Nov 1 2005,8:00p,Denver Nuggets,91,San Antonio Spurs,102,Box Score,,18797,
Wed Nov 2 2005,7:30p,New York Knicks,100,Boston Celtics,114,Box Score,OT,18624,
Wed Nov 2 2005,8:30p,Charlotte Bobcats,105,Chicago Bulls,109,Box Score,OT,19251,
Wed Nov 2 2005,7:00p,New Orleans/Oklahoma City Hornets,87,Cleveland Cavaliers,109,Box Score,,20562,
Wed Nov 2 2005,10:30p,Los Angeles Lakers,99,Denver Nuggets,97,Box Score,OT,19245,
Wed Nov 2 2005,8:00p,Philadelphia 76ers,88,Detroit Pistons,108,Box Score,,22076,
Wed Nov 2 2005,10:30p,Atlanta Hawks,97,Golden State Warriors,122,Box Score,,18629,
Wed Nov 2 2005,8:30p,Sacramento Kings,89,Houston Rockets,98,Box Score,,16457,
Wed Nov 2 2005,8:00p,Miami Heat,97,Memphis Grizzlies,78,Box Score,,18119,
Wed Nov 2 2005,8:00p,Portland Trail Blazers,86,Minnesota Timberwolves,90,Box Score,,16799,
Wed Nov 2 2005,7:30p,Milwaukee Bucks,110,New Jersey Nets,96,Box Score,,20098,
Wed Nov 2 2005,7:00p,Indiana Pacers,90,Orlando Magic,78,Box Score,,17283,
Wed Nov 2 2005,10:00p,Los Angeles Clippers,101,Seattle SuperSonics,93,Box Score,,16515,
Wed Nov 2 2005,7:00p,Washington Wizards,99,Toronto Raptors,96,Box Score,,18106,
Wed Nov 2 2005,9:00p,Dallas Mavericks,82,Utah Jazz,93,Box Score,,18249,
Thu Nov 3 2005,10:30p,Phoenix Suns,122,Los Angeles Lakers,112,Box Score,,18997,
Thu Nov 3 2005,8:00p,Indiana Pacers,105,Miami Heat,102,Box Score,,20128,
Fri Nov 4 2005,7:30p,Detroit Pistons,82,Boston Celtics,81,Box Score,,16642,
Fri Nov 4 2005,9:00p,Portland Trail Blazers,68,Denver Nuggets,107,Box Score,,15595,
Fri Nov 4 2005,10:30p,Utah Jazz,91,Golden State Warriors,85,Box Score,,18416,
Fri Nov 4 2005,10:30p,Atlanta Hawks,77,Los Angeles Clippers,92,Box Score,,16813,
Fri Nov 4 2005,7:30p,Washington Wizards,86,New York Knicks,75,Box Score,,19763,
Fri Nov 4 2005,7:00p,Memphis Grizzlies,94,Orlando Magic,85,Box Score,,14942,
Fri Nov 4 2005,7:00p,Charlotte Bobcats,110,Philadelphia 76ers,93,Box Score,,14654,
Fri Nov 4 2005,8:00p,Cleveland Cavaliers,76,San Antonio Spurs,102,Box Score,,18797,
Fri Nov 4 2005,10:30p,Minnesota Timberwolves,102,Seattle SuperSonics,107,Box Score,OT,17072,
Fri Nov 4 2005,7:00p,New Jersey Nets,102,Toronto Raptors,92,Box Score,,18586,
Sat Nov 5 2005,7:30p,Boston Celtics,105,Charlotte Bobcats,107,Box Score,OT,19026,
Sat Nov 5 2005,8:30p,San Antonio Spurs,84,Dallas Mavericks,103,Box Score,,20468,
Sat Nov 5 2005,7:30p,Toronto Raptors,84,Detroit Pistons,117,Box Score,,22076,
Sat Nov 5 2005,8:30p,New Orleans/Oklahoma City Hornets,91,Houston Rockets,84,Box Score,,15875,
Sat Nov 5 2005,8:00p,Philadelphia 76ers,111,Indiana Pacers,109,Box Score,,18345,
Sat Nov 5 2005,10:30p,Minnesota Timberwolves,99,Los Angeles Clippers,100,Box Score,OT,16212,
Sat Nov 5 2005,8:00p,Cleveland Cavaliers,106,Memphis Grizzlies,113,Box Score,,17368,
Sat Nov 5 2005,8:30p,Miami Heat,100,Milwaukee Bucks,105,Box Score,,18717,
Sat Nov 5 2005,7:30p,Chicago Bulls,99,New Jersey Nets,100,Box Score,,16898,
Sat Nov 5 2005,10:00p,Atlanta Hawks,93,Portland Trail Blazers,94,Box Score,,18918,
Sat Nov 5 2005,9:00p,Phoenix Suns,97,Utah Jazz,88,Box Score,,18608,
Sat Nov 5 2005,7:00p,Orlando Magic,79,Washington Wizards,87,Box Score,,20173,
Sun Nov 6 2005,9:30p,Denver Nuggets,92,Los Angeles Lakers,112,Box Score,,18997,
Sun Nov 6 2005,1:00p,Golden State Warriors,83,New York Knicks,81,Box Score,,16221,
Sun Nov 6 2005,8:00p,Sacramento Kings,118,Phoenix Suns,117,Box Score,,17298,
Mon Nov 7 2005,7:30p,Utah Jazz,95,Charlotte Bobcats,91,Box Score,OT,14872,
Mon Nov 7 2005,8:30p,San Antonio Spurs,104,Chicago Bulls,95,Box Score,OT,21827,
Mon Nov 7 2005,7:30p,New Jersey Nets,89,Miami Heat,90,Box Score,,19600,
Mon Nov 7 2005,8:00p,Los Angeles Clippers,78,Minnesota Timberwolves,93,Box Score,,11791,
Mon Nov 7 2005,7:00p,Cleveland Cavaliers,105,Toronto Raptors,93,Box Score,,18281,
Tue Nov 8 2005,7:00p,Los Angeles Lakers,103,Atlanta Hawks,97,Box Score,,19523,
Tue Nov 8 2005,8:30p,Orlando Magic,76,Houston Rockets,74,Box Score,,14616,
Tue Nov 8 2005,8:00p,Seattle SuperSonics,69,Memphis Grizzlies,94,Box Score,,14319,
Tue Nov 8 2005,8:00p,Golden State Warriors,110,Milwaukee Bucks,103,Box Score,,14712,
Tue Nov 8 2005,10:00p,Detroit Pistons,102,Sacramento Kings,88,Box Score,,17317,
Wed Nov 9 2005,7:30p,Memphis Grizzlies,98,Boston Celtics,99,Box Score,,15086,
Wed Nov 9 2005,7:30p,San Antonio Spurs,94,Charlotte Bobcats,86,Box Score,,17237,
